STATE,DISTRICT,years,MURDER,ATTEMP_TO_MURDER,RAPE,STATE,years,max_murder
KARNATAKA,"BANGALORE COMMR.",2010,266,445,65,KARNATAKA,2010,266
KERALA,"TRIVANDRUM RURAL",2010,42,26,68,KERALA,2010,42
KERALA,PALAKKAD,2010,42,24,49,KERALA,2010,42
"MADHYA PRADESH",INDORE,2010,108,149,104,"MADHYA PRADESH",2010,108
MAHARASHTRA,"MUMBAI COMMR.",2010,228,170,194,MAHARASHTRA,2010,228
MANIPUR,"IMPHAL EAST",2010,19,51,6,MANIPUR,2010,19
MEGHALAYA,"JAINTIA HILLS",2010,48,5,33,MEGHALAYA,2010,48
MIZORAM,AIZAWL,2010,23,10,34,MIZORAM,2010,23
NAGALAND,DIMAPUR,2010,20,6,4,NAGALAND,2010,20
ODISHA,MAYURBHANJ,2010,88,62,76,ODISHA,2010,88
PUNJAB,"CP LUDHIANA",2010,90,92,55,PUNJAB,2010,90
RAJASTHAN,BHARATPUR,2010,83,86,83,RAJASTHAN,2010,83
SIKKIM,SOUTH,2010,7,3,9,SIKKIM,2010,7
"TAMIL NADU",CHENNAI,2010,103,158,47,"TAMIL NADU",2010,103
TRIPURA,WEST,2010,83,25,118,TRIPURA,2010,83
"UTTAR PRADESH",GHAZIABAD,2010,216,220,44,"UTTAR PRADESH",2010,216
UTTARAKHAND,"UDHAMSINGH NAGAR",2010,55,66,22,UTTARAKHAND,2010,55
"WEST BENGAL","PASCHIM MIDNAPUR",2010,268,113,67,"WEST BENGAL",2010,268
"A & N ISLANDS",ANDAMAN,2010,8,7,23,"A & N ISLANDS",2010,8
CHANDIGARH,CHANDIGARH,2010,21,30,31,CHANDIGARH,2010,21
"D & N HAVELI","D and N HAVELI",2010,6,0,3,"D & N HAVELI",2010,6
"DAMAN & DIU",DAMAN,2010,5,2,1,"DAMAN & DIU",2010,5
"DELHI UT","DELHI UT TOTAL",2010,565,311,507,"DELHI UT",2010,565
LAKSHADWEEP,LAKSHADWEEP,2010,0,0,0,LAKSHADWEEP,2010,0
PUDUCHERRY,PUDUCHERRY,2010,29,16,2,PUDUCHERRY,2010,29
"ANDHRA PRADESH",CYBERABAD,2011,213,128,89,"ANDHRA PRADESH",2011,213
"ARUNACHAL PRADESH",LOHIT,2011,12,3,5,"ARUNACHAL PRADESH",2011,12
ASSAM,TINSUKIA,2011,98,49,61,ASSAM,2011,98
BIHAR,PATNA,2011,248,25,41,BIHAR,2011,248
CHHATTISGARH,BILASPUR,2011,112,43,70,CHHATTISGARH,2011,112
GOA,"NORTH GOA",2011,33,10,13,GOA,2011,33
GUJARAT,"SURAT COMMR.",2011,100,38,36,GUJARAT,2011,100
HARYANA,GURGAON,2011,89,57,40,HARYANA,2011,89
"HIMACHAL PRADESH",KANGRA,2011,21,7,32,"HIMACHAL PRADESH",2011,21
"JAMMU & KASHMIR",JAMMU,2011,18,83,35,"JAMMU & KASHMIR",2011,18
JHARKHAND,GUMLA,2011,201,52,46,JHARKHAND,2011,201
KARNATAKA,"BANGALORE COMMR.",2011,232,460,97,KARNATAKA,2011,232
KERALA,PALAKKAD,2011,41,43,85,KERALA,2011,41
"MADHYA PRADESH",INDORE,2011,135,137,129,"MADHYA PRADESH",2011,135
MAHARASHTRA,"MUMBAI COMMR.",2011,203,180,221,MAHARASHTRA,2011,203
MANIPUR,"IMPHAL WEST",2011,24,118,17,MANIPUR,2011,24
MEGHALAYA,"JAINTIA HILLS",2011,52,4,43,MEGHALAYA,2011,52
MIZORAM,AIZAWL,2011,10,10,35,MIZORAM,2011,10
NAGALAND,DIMAPUR,2011,15,10,9,NAGALAND,2011,15
ODISHA,MAYURBHANJ,2011,103,73,76,ODISHA,2011,103
PUNJAB,"CP LUDHIANA",2011,76,83,48,PUNJAB,2011,76
RAJASTHAN,ALWAR,2011,104,51,99,RAJASTHAN,2011,104
SIKKIM,EAST,2011,8,3,7,SIKKIM,2011,8
"TAMIL NADU",CHENNAI,2011,168,332,76,"TAMIL NADU",2011,168
TRIPURA,WEST,2011,71,22,86,TRIPURA,2011,71
"UTTAR PRADESH",MEERUT,2011,189,235,79,"UTTAR PRADESH",2011,189
UTTARAKHAND,HARIDWAR,2011,56,58,26,UTTARAKHAND,2011,56
"WEST BENGAL","24 PARGANAS SOUTH",2011,247,3,274,"WEST BENGAL",2011,247
"A & N ISLANDS",ANDAMAN,2011,14,5,13,"A & N ISLANDS",2011,14
CHANDIGARH,CHANDIGARH,2011,24,40,27,CHANDIGARH,2011,24
"D & N HAVELI","D and N HAVELI",2011,14,2,4,"D & N HAVELI",2011,14
"DAMAN & DIU",DAMAN,2011,6,1,1,"DAMAN & DIU",2011,6
"DELHI UT","DELHI UT TOTAL",2011,543,386,572,"DELHI UT",2011,543
LAKSHADWEEP,LAKSHADWEEP,2011,0,1,0,LAKSHADWEEP,2011,0
PUDUCHERRY,PUDUCHERRY,2011,32,20,7,PUDUCHERRY,2011,32
"ANDHRA PRADESH",CYBERABAD,2012,198,113,75,"ANDHRA PRADESH",2012,198
"ARUNACHAL PRADESH",LOHIT,2012,11,4,3,"ARUNACHAL PRADESH",2012,11
ASSAM,KOKRAJHAR,2012,110,42,27,ASSAM,2012,110
BIHAR,PATNA,2012,356,86,49,BIHAR,2012,356
CHHATTISGARH,BILASPUR,2012,74,42,47,CHHATTISGARH,2012,74
GOA,"NORTH GOA",2012,28,20,26,GOA,2012,28
GUJARAT,"SURAT COMMR.",2012,98,26,40,GUJARAT,2012,98
HARYANA,SONIPAT,2012,86,67,32,HARYANA,2012,86
"HIMACHAL PRADESH",KANGRA,2012,24,8,26,"HIMACHAL PRADESH",2012,24
"JAMMU & KASHMIR",SRINAGAR,2012,13,45,19,"JAMMU & KASHMIR",2012,13
"JAMMU & KASHMIR",JAMMU,2012,13,80,39,"JAMMU & KASHMIR",2012,13
JHARKHAND,GUMLA,2012,192,45,36,JHARKHAND,2012,192
KARNATAKA,"BANGALORE COMMR.",2012,266,454,90,KARNATAKA,2012,266
KERALA,"TRIVANDRUM RURAL",2012,42,49,97,KERALA,2012,42
"MADHYA PRADESH",INDORE,2012,123,172,173,"MADHYA PRADESH",2012,123
MAHARASHTRA,"MUMBAI COMMR.",2012,215,170,232,MAHARASHTRA,2012,215
MANIPUR,THOUBAL,2012,16,73,20,MANIPUR,2012,16
MEGHALAYA,"JAINTIA HILLS",2012,44,11,32,MEGHALAYA,2012,44
MIZORAM,AIZAWL,2012,12,13,42,MIZORAM,2012,12
NAGALAND,DIMAPUR,2012,26,8,9,NAGALAND,2012,26
ODISHA,KEONJHAR,2012,97,83,102,ODISHA,2012,97
PUNJAB,"CP LUDHIANA",2012,79,78,69,PUNJAB,2012,79
RAJASTHAN,ALWAR,2012,100,88,129,RAJASTHAN,2012,100
SIKKIM,EAST,2012,3,4,13,SIKKIM,2012,3
"TAMIL NADU",CHENNAI,2012,180,219,94,"TAMIL NADU",2012,180
TRIPURA,WEST,2012,26,12,50,TRIPURA,2012,26
"UTTAR PRADESH",MEERUT,2012,202,246,54,"UTTAR PRADESH",2012,202
UTTARAKHAND,HARIDWAR,2012,74,54,47,UTTARAKHAND,2012,74
"WEST BENGAL","24 PARGANAS SOUTH",2012,224,8,244,"WEST BENGAL",2012,224
"A & N ISLANDS",SOUTH,2012,8,3,8,"A & N ISLANDS",2012,8
CHANDIGARH,CHANDIGARH,2012,21,44,27,CHANDIGARH,2012,21
"D & N HAVELI","D and N HAVELI",2012,7,2,3,"D & N HAVELI",2012,7
"DAMAN & DIU",DAMAN,2012,3,4,5,"DAMAN & DIU",2012,3
"DELHI UT","DELHI UT TOTAL",2012,521,439,706,"DELHI UT",2012,521
LAKSHADWEEP,LAKSHADWEEP,2012,0,0,0,LAKSHADWEEP,2012,0
PUDUCHERRY,PUDUCHERRY,2012,24,21,7,PUDUCHERRY,2012,24
